id,name
282,fresh flat-leaf parsley
283,fresh garlic
284,fresh orange juice
285,fresh oregano
286,fresh parmesan cheese
287,fresh parsley
288,fresh parsley leaves
289,fresh rosemary
290,fresh sage
291,fresh snow peas
292,fresh spinach
293,fresh thyme
294,fresh thyme leave
295,frozen artichoke hearts
296,frozen chopped spinach
297,frozen corn kernels
298,frozen green pea
299,frozen peas
300,frozen spinach
301,frozen tater tots
302,frozen whole kernel corn
303,garam masala
304,garam masala powder
305,garbanzo beans
306,garlic salt
307,genoa salami
308,ghee
309,ginger-garlic paste
310,ginger
311,fresh ginger
312,minced ginger
313,fresh gingerroot
314,ginger paste
315,ginger powder
316,gingerroot
317,goat cheese
318,golden raisin
319,gram flour
320,grape tomatoes
321,greek fassolia gigantes
322,greek oregano
323,green cabbage
324,green chili
325,green chilies
326,green lentil
327,green olives
328,green onion
329,green onions
330,green peas
331,green pepper
332,green peppers
333,green bell pepper
334,green bell peppers
335,green tomato
336,allspice
337,ground allspice
338,ground cayenne pepper
339,ground chuck
340,ground cumin
341,ground ginger
342,ground nutmeg
343,ground pork
344,ground turkey
345,ground veal
346,guacamole
347,hachiya persimmons
348,halloumi cheese
349,cooked ham
350,ham slices
351,hamburger bun
352,hamburger buns
353,hard-boiled eggs
354,eggs
355,hoagie rolls
356,hoisin sauce
357,honey
358,hot chili powder
359,hot fudge
360,hot italian sausage
361,hot ketchup
362,hot pepper
363,hot peppers
364,hot sauce
365,hot sausage
366,iceberg lettuce
367,instant coffee granules
368,italian bread
369,italian dressing
370,italian parsley
371,italian seasoning
372,jalapeno
373,jalapeno pepper
374,jalapeno peppers
375,jalapenos
376,jalapeno havarti cheese
377,jelly
378,jicama
379,jimmy dean sausage
380,jumbo pasta shells
381,kaiser rolls
382,kalamata olive
383,kalamata olives
384,kasseri cheese
385,kefalotiri
386,kelp
387,kernel corn
388,ketchup
389,catsup
390,kidney beans
391,kirby cucumbers
392,kosher salt
393,lard
394,large raw shrimp
395,large shrimp
396,lamb
397,ground lamb
398,lean boneless leg of lamb
399,lean ground lamb
400,lean ground turkey
401,lentils
402,lettuce
403,lettuce leaf
404,lettuce leaves
405,light brown sugar
406,granulated sugar
407,confectioners' sugar
408,sugar
409,brown sugar
410,light corn syrup
411,lime
412,lime juice
413,limes
414,"limes, juice and zest of"
415,"limes, juice of"
416,fresh lime juice
417,fresh lime zest
418,linguine
419,low sodium vegetable broth
420,major grey chutney
421,mango chutney
422,mangoes
423,maple syrup
424,marinara sauce
425,marinated artichoke hearts
426,marsala wine
427,mashed potatoes
428,masoor dal
429,mayonnaise
430,reduced-fat mayonnaise
431,low-fat mayonnaise
432,medium pasta shells
433,medium shrimp
434,mexican vegetarian ground meat substitute
435,milk
436,low-fat milk
437,whole milk
438,garlic
439,garlic paste
440,garlic powder
441,garlic clove
442,garlic cloves
443,fresh garlic cloves
444,minced garlic clove
445,mint
446,mint leaf
447,fresh mint leaves
448,of fresh mint
449,mirin
450,miso
451,mixed italian herbs
452,mixed nuts
453,nuts
454,mixed salad green
455,mixed spice
456,mixed sprouts
457,monterey jack cheese
458,monterey jack pepper cheese
459,reduced-fat monterey jack cheese
460,mozzarella cheese
461,fresh mozzarella cheese
462,smoked mozzarella cheese
463,mushroom
464,mushroom pieces
465,mushrooms
466,sliced mushrooms
467,dried mushrooms
468,fresh mushrooms
469,mustard seeds
470,mutton
471,naan bread
472,nori
473,nutella
474,nutmeg
475,oatmeal
476,octopus
477,baby octopus
478,oil
479,okra
480,okara
481,olive oil
482,extra virgin olive oil
483,virgin olive oil
484,lite olive oil
485,olive salad
486,onion
487,onions
488,onion powder
489,onion seeds
490,orange rind
491,orecchiette
492,oregano
493,oregano leaves
494,orzo pasta
495,oyster mushrooms
496,oyster sauce
497,panko breadcrumbs
498,paprika
499,parmesan cheese
500,parmigiano-reggiano cheese
501,parsley
502,pastry dough
503,peanut butter
504,peanut oil
505,pears
506,pecans
507,phyllo dough
508,picante sauce
509,pickled grape leaves
510,pickles
511,pickling onions
512,pillsbury refrigerated crescent dinner rolls
513,pimientos
514,pine nuts
515,pisco
516,pistachio nut
517,pita bread
518,pita bread round
519,pita bread rounds
520,pita breads
521,pita chips
522,black olives
523,pitted black olives
524,pizza dough
525,pizza sauce
526,plain breadcrumbs
527,plain flour
528,plum juice
529,plum tomato
530,plum tomatoes
531,pork
532,pork butt
533,pork tenderloin
534,lean pork
535,lean boneless pork
536,portabella mushroom caps
537,potato
538,potatoes
539,powdered milk
540,prosciutto
541,provolone cheese
542,pumpkin seeds
543,queso fresco
544,raisins
545,ramen noodles
546,raspberry vinegar
547,raw shrimp
548,red bell pepper
549,sweet red pepper
550,sweet red peppers
551,red capsicum
552,red cabbage
553,red food coloring
554,red jalapeno chile
555,red leaf lettuce
556,red onion
557,red chili paste
558,red chili pepper
559,red chili pepper flakes
560,red chili powder
561,red pepper
562,red pepper flakes
563,red pepper paste
564,red pepper powder
565,red peppers
566,ground red pepper
567,roasted red pepper
568,crushed red pepper flakes
569,pepperoncini pepper
570,red potatoes
571,baby red potatoes
572,red wine
573,red wine vinaigrette
574,red wine vinegar
575,reduced-calorie italian dressing
576,refried beans
577,low-sodium refried beans
578,vegetarian refried beans
579,refrigerated crescent dinner rolls
580,rice
581,short-grain rice
582,basmati rice
583,cooked basmati rice
584,cooked brown rice
585,cooked rice
586,cooked sushi rice
587,cooked white rice
588,long grain and wild rice blend
589,long grain rice
590,long-grain white rice
591,rice flour
592,rice noodles
593,rice paper
594,rice vinegar
595,rice wine vinegar
596,ricotta cheese
597,rolls
598,romaine lettuce
599,romaine lettuce leaves
600,romano cheese
601,rose water
602,rosemary
603,round steaks
604,rye berries
605,saffron strand
606,saffron strands
607,sage leaves
608,salad greens
609,salsa
610,chunky salsa
611,salt
612,sea salt
613,salt & freshly ground black pepper
614,salt & pepper
615,salt and black pepper
616,salt and pepper
617,saltine crackers
618,sambal oelek
619,scallion
620,scallions
621,seasoning
622,self-rising cornmeal
623,serrano pepper
624,sesame seeds
625,black sesame seed
626,shallots
627,sherry wine
628,shoyu
629,shrimp
630,baby shrimp
631,sifted flour
632,slivered almonds
633,small shell pasta
634,smoked salmon
635,soba noodles
636,sour cream
637,light sour cream
638,reduced-fat sour cream
639,sourdough bread
640,southwestern chicken strips
641,soy flakes
642,soy sauce
643,kikkoman soy sauce
644,light soy sauce
645,light soya sauce
646,low sodium soy sauce
647,black soy sauce
648,spaghetti sauce
649,spinach
650,baby spinach leaves
651,spinach leaves
652,spring onion
653,spring onions
654,squid
655,sunflower seeds
656,sweet green pepper
657,sweet italian sausage links
658,sweet onion
659,sweet onions
660,sweet pickles
661,szechuan peppercorns
662,tabasco sauce
663,taco shells
664,tagliatelle pasta noodles
665,tahini
666,tamari
667,tamari soy sauce
668,tamarind pulp
669,tempeh
670,tequila
671,teriyaki sauce
672,thyme
673,tilapia fillets
674,sesame oil
675,dark sesame oil
676,toasted sesame oil
677,tofu
678,firm tofu
679,tomato paste
680,tomato puree
681,tomato sauce
682,no-salt-added tomato sauce
683,spicy tomato sauce
684,whole tomatoes
685,tomatoes
686,fresh tomato
687,crushed tomatoes
688,diced tomato
689,diced tomatoes
690,diced tomatoes with lime and cilantro
691,tortellini
692,tortilla
693,tortillas
694,tortilla chips
695,tuna
696,tuna in water
697,tuna steak
698,turmeric
699,turmeric powder
700,vanilla
701,vegetable broth
702,vegetable stock
703,vegetable oil
704,vegetables
705,stir fry vegetables
706,vegetarian worcestershire sauce
707,vinegar
708,walnuts
709,wasabi
710,wasabi paste
711,water chestnut
712,water chestnuts
713,water-packed artichoke hearts
714,watercress
715,watermelon
716,seedless watermelon
717,wheat berries
718,wheat bran
719,wheat gluten
720,white bread
721,white breadcrumbs
722,white onion
723,white pearl onions
724,white pepper
725,white vinegar
726,white wine
727,white wine vinegar
728,whole wheat flour
729,whole wheat tortillas
730,wine vinegar
731,wonton skins
732,worcestershire sauce
733,yams
734,yeast
735,dry yeast
736,yellow cornmeal
737,yellow lentils
738,yellow mustard
739,yellow onion
740,yellow onions
741,yellow peppers
742,yellow bell pepper
743,yellow sweet pepper
744,yogurt
745,yoghurt
746,plain nonfat yogurt
747,plain yogurt
748,greek yogurt
749,low-fat plain yogurt
750,low-fat yogurt
751,yogurt starter
752,yukon gold potato
753,yukon gold potatoes
754,zucchini
755,water
756,warm water
757,hot water
758,cold water
759,liquid
760,cloth
